IDNUMBER,SMILES,predicts-2315,predicts-5444,predicts-5010,predicts-1936,predicts-4621,predicts-3199,predicts-9572,predicts-8469,predicts-6294,predicts-3483,predicts-5030,predicts-6894
AA-173/40757587,Cc2ccc(C=1C(CC=1SC)=NC(C)(C)C)s2,0.5,0.6,0.6,0.3,0.90000004,0.5,0.6,0.2,0.2,0.7,0.6,0.90000004
AA-504/06582027,Cc1ccc(cc1(C(O)=O))[N+](=O)[O-],0.1,0.1,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0
AA-504/06584039,C1(C=CC(=O)O1)OC2CC(C)CCC2(C(C)C),0.8,0.4,0.2,0.7,0.8,0.6,0.6,0.8,0.2,0.8,0.2,0.7
AA-504/06585004,OCCN(CCO)c1ccc(cc1)[N+](=O)[O-],0.1,0.2,0,0,0,0.2,0.1,0.5,0.3,0,0.1,0.2
AA-504/06813049,N#CC(=Cc1ccccc1[N+](=O)[O-])c2ccccc2,0.2,0,0.1,0,0.1,0,0,0.1,0,0,0.1,0
AA-504/07219024,CCOC(=O)c1c(C)cc(C)c(C(=O)OCC)c1(O),0.1,0,0,0.1,0,0.2,0.2,0.4,0.1,0,0.2,0.2
AA-504/07223059,CC34(CCC2C(CCC1=CC(=O)C=CC12(C))C4(CCC3(=O))),0.5,0.3,0.90000004,0.5,0.8,1,1,0.8,0.8,0.90000004,1,0.4
AA-504/07224047,CC24(CCC(=O)C=C4(CCC1C3CCC(O)(C(=O)CO)C3(C)(CC(=O)C12))),0.4,0.8,0.8,0.8,1,0.8,0.4,0.90000004,0.8,0.90000004,0.8,0.8
AA-504/07224063,CC45(CCC(O)CC5(CCC1C4(CCC2(C)(C(CCC12(O))C=3COC(=O)C=3)))),1,0.8,1,1,0.90000004,1,0.5,0.7,1,1,0.7,1
AA-504/07225028,CC24(CCC(=O)C=C4(CCC1C3CCC(O)(C(=O)CO)C3(C)(CC(O)C12))),0.90000004,1,0.90000004,0.8,0.90000004,1,0.8,0.8,0.9,0.8,0.8,1
AA-504/07472049,Cc3ccccc3(OCC(=O)Nc1ccc(cc1)NC(=O)COc2ccccc2(C)),0,0.1,0,0.2,0,0.2,0,0.1,0,0.1,0.3,0
AA-504/07478056,Cc1ccc(cc1(C))OCC(=O)OCC(=O)c2ccc(cc2)[N+](=O)[O-],0,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0,0.1,0.3,0
AA-504/08106064,COc1ccc(cc1)NC(=O)c3ccc(cc3(NC(=O)c2ccc(cc2)[N+](=O)[O-]))[N+](=O)[O-],0.1,0.2,0,0.1,0.1,0,0.1,0.2,0.1,0,0,0.1
AA-504/08378009,O=C1C(CCCCC1=C2SCCCS2)=CC=Cc3ccccc3,0,0.1,0.1,0.2,0,0,0,0.1,0.5,0.4,0.2,0.6
AA-504/08378046,CNC2=CC=CC=C(C(C)=NNc1ccccc1)C2(=O),0.1,0.2,0.1,0.1,0.1,0,0.4,0.1,0.6,0.1,0.1,0.1
AA-504/09512031,O=C(Nc1ccc3c(c1)Cc2ccccc23)c4ccc(cc4)[N+](=O)[O-],0,0,0,0,0,0,0,0.1,0,0.1,0.1,0
AA-504/09516019,O=C1c3ccccc3(C(=O)C1=C2SCCS2),0,0.3,0.1,0.1,0,0,0,0,0.1,0,0.2,0.3
AA-504/11221011,Cc4ccc(cc4(CN1CCN(CC1)CC(O)CN2CCN(CC2)Cc3cc(ccc3(C))[N+](=O)[O-]))[N+](=O)[O-],0.1,0,0,0,0.2,0.1,0.1,0.2,0.3,0.1,0,0.1
AA-504/11594014,CCCCOC(=O)CSC(N1CCN(CC1)C(=O)OCC)=S,0.90000004,1,0.8,0.90000004,0.90000004,0.7,0.8,0.8,0.90000004,0.8,0.7,0.8
AA-504/11594017,CC1CN(CC(C)O1)C(=S)SCCN2C(=O)c3ccccc3(C2(=O)),0,0.1,0.3,0.2,0.3,0.3,0.2,0.2,0,0.1,0.4,0.1
AA-504/11594056,CC5CSC(=C(C(=O)C=Cc1ccc2OCOc2(c1))C(=O)C=Cc3ccc4OCOc4(c3))S5,0.1,0.2,0.2,0.1,0,0.5,0.2,0.3,0,0,0,0.3
AA-504/11594059,CC3CSC(=C(C(=O)C=Cc1ccccc1[N+](=O)[O-])C(=O)c2ccccc2)S3,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0,0.3,0.3
AA-504/21041040,OC(=O)c1ccccc1C=3c4cc(c(O)cc4(OC2=CC(=O)C(=CC2=3)G))G,0.3,0,0,0.1,0.1,0.6,0.7,0.5,0.7,0.2,0.1,0.1
AA-504/21125025,CNC2CCc1cc(OC)c(OC)c(OC)c1C3=CC=C(OC)C(=O)C=C23,0.6,0.2,0.1,0,0.3,0.2,0.4,0,0.2,0.3,0.3,0.8
AA-504/21125035,CC1=NN(C(=O)C1[N+](=O)[O-])c2ccc(cc2)[N+](=O)[O-],0.1,0.1,0.1,0.1,0.2,0.1,0,0.3,0,0,0,0.2
AA-504/21163105,COc2cc(OC)c(C=CC(=O)c1c(O)c(CC=C(C)C)c(cc1(OC))OC)c(c2)OC,0,0.1,0.5,0.4,0.7,0.2,0.7,0.2,0.2,0.3,0.3,0.3
AA-504/32132031,Cc2ccc(C=C1C(=O)C(C)(C)OC1(C)(C))o2,0.7,0.1,0.3,0.3,0.5,0.5,0.5,0.5,0.3,0,0.1,0.6
AA-504/32132040,CC3(C)(OC(C)(C)C(=CNc1cc2ccccc2(cc1[N+](=O)[O-]))C3(=O)),0.3,0.1,0.2,0.1,0.5,0.2,0.4,0.6,0.1,0.2,0.1,0.2
AA-504/32132061,CCOc1cc(c(cc1N2CCN(CC2)c3cc(OCC)c(cc3(OCC))[N+](=O)[O-])OCC)[N+](=O)[O-],0.1,0.1,0,0.1,0,0.2,0,0.1,0.1,0,0.1,0.1
AA-504/32133008,CC1(C)(OC(=O)C(C(=O)O1)=C2CCCCCN2),0.8,0.2,0.4,0.2,0.7,0.7,0.7,0.2,0.6,0.8,0.4,0.8
AA-504/32133009,CC1(C)(OC(=O)C(C(=O)O1)=C2CCCCN2),0.5,0.1,0.4,0.5,0.7,0.2,0.8,0.3,0.6,0.90000004,0.2,0.6
AA-504/32133010,CC1(C)(OC(=O)C(C(=O)O1)=C2CCCN2),1,0.7,0.5,1,0.90000004,0.90000004,0.8,1,0.90000004,1,1,0.90000004
AA-504/32133015,CC(=NNC(=S)SCN1C(=O)C2CCC(C)(C1(=O))C2(C)(C))c3ccc(cc3)[N+](=O)[O-],0.1,0.1,0.1,0.90000004,0.4,0.5,0.2,0.1,0.7,0.5,0.5,0.2
AA-504/32170024,Cc1ccc(cc1)C=CC(=O)N2CCOCC2,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0.1
AA-504/32170025,CC(C)NC(=O)C=CC=Cc1ccc(cc1)[N+](=O)[O-],0.1,0.1,0,0,0.1,0,0.2,0.1,0,0,0,0.1
AA-504/32170032,COc2ccc(C=CC=C(C#N)S(=O)(=O)c1ccccc1)cc2,0,0.2,0.1,0,0.4,0,0.1,0.3,0,0.1,0.3,0.1
AA-504/32336046,CCCC(=O)c1c(O)cc(O)c(C(=O)CCC)c1(O),0.1,0.4,0.2,0.90000004,0.3,0.8,0.4,0.1,0.5,0.90000004,0.90000004,0.7
AA-504/32626012,CC(Oc1cccc(c1)[N+](=O)[O-])C(=O)OCC(=O)c2ccc(cc2)G,0,0.4,0.1,0.2,0.2,0,0,0.1,0.2,0.2,0.3,0.1
AA-504/32627033,Cc1ccc(cc1)NC=C2C(=O)C=C(C)OC2(=O),0.1,0,0,0.2,0.2,0.1,0.3,0.5,0.3,0.1,0.2,0
AA-504/32627061,CCOC(=O)C=CC(C(=O)OC)=C1CCCN1,0,0.6,0,0.4,0.1,0.6,0.2,0.6,0,0.1,0.4,0.2
AA-504/32628001,COC(=O)C1=CC(=O)N2CCCC2(=C1(C(C)=O)),1,0.5,0.2,0.3,0.7,0.8,0.4,0.90000004,0.7,0.90000004,0.6,0.8
AA-504/32628004,COC(=O)C(C#N)=C1NC(=O)c2ccccc2(N1),0,0.2,0.1,0.1,0,0.1,0.3,0,0.1,0,0,0
AA-504/32628006,CC1(C)(OC(=O)C(C(=O)O1)=C2NC(=O)c3ccccc3(N2)),0.1,0.1,0.1,0.6,0.3,0.1,0.4,0.2,0.6,0.6,0.6,0.4
AA-504/32628017,CC(C=Cc1ccccc1)=NNC(=S)SCN2C(=O)C3CCC(C)(C2(=O))C3(C)(C),0.1,0.2,0,1,0.2,0.3,0.3,0.4,0.4,0.7,0.5,0.90000004
AA-504/32628028,O=C3c1ccccc1C(=O)N3(CSC(NN=Cc2ccccc2G)=S),0,0,0.1,0,0.1,0.1,0,0.1,0,0,0,0
AA-504/32628030,O=C3c1ccccc1C(=O)N3(CSC(NN=C2CCCC2)=S),0.3,0,0.5,0,0.2,0.2,0.7,0.3,0.2,0.6,0.5,0.2
AA-504/32628032,O=C2CCC(=O)N2(CSC(NN=C1CCCCC1)=S),0.8,0.5,0.5,0.7,0.8,0.6,0.6,0.4,0.90000004,0.4,0.5,0.8
AA-504/32630035,O=C1C(=C(C=NN1S(=O)(=O)c2ccccc2)G)G,0.1,0.1,0.2,0.3,0.3,0.2,0,0.1,0.6,0.1,0.3,0.1
AA-504/32630065,O=C3OC(=NC3(Cc1ccc(cc1)[N+](=O)[O-])(Cc2ccc(cc2)[N+](=O)[O-]))c4ccccc4,0.1,0.2,0.1,0.2,0,0,0.4,0,0,0,0,0
AA-504/32630073,OC(=O)C(Cc1ccc(cc1)[N+](=O)[O-])(Cc2ccc(cc2)[N+](=O)[O-])NC(=O)c3ccccc3,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0,0.1,0.1,0,0.3
AA-504/32988003,CCCCCCC=C1NC(=O)CN(C(C)=O)C1(=O),0.2,0.3,0.2,0.3,0.7,0.5,0.4,0.6,0.6,0.3,0.1,0.2
AA-504/32988062,CC(=O)Nc1ccc(cn1)[N+](=O)[O-],0.1,0.2,0,0.1,0.1,0.1,0.1,0.2,0,0,0,0.1
AA-504/32989008,CCC(=O)Nc1ccc(cn1)[N+](=O)[O-],0,0.2,0,0.2,0,0,0,0.1,0,0.1,0,0.1
AA-504/32989037,OC(=O)c2ccccc2(C(=O)Nc1cccnc1G),0.4,0,0.1,0,0,0.3,0,0.1,0.3,0.2,0.2,0.90000004
AA-504/32989043,OC(=O)c2ccccc2(C(=O)Nc1ccc(cn1)G),0.4,0.1,0.3,0,0,0.3,0.1,0,0.6,0.1,0.6,0.2
AA-504/32990004,Cc1cc(cc(C)c1G)OC(=O)C=2C=CC(=O)OC=2,0.1,0.1,0,0,0.1,0,0.5,0.1,0.1,0.1,0,0
AA-504/32990015,Cc1cc(C)nc(n1)NC(=O)C=2C=CC(=O)OC=2,0,0,0,0.1,0.4,0,0,0.1,0.2,0,0.1,0
AA-504/32990056,COc2ccc(cc2(NC(=O)c1ccc(c(c1)G)[N+](=O)[O-]))G,0.2,0.1,0,0.1,0,0.2,0,0.1,0.1,0.1,0,0.2
AA-504/32991001,O=C(Nc1ccc(cn1)[N+](=O)[O-])c2ccc(c(c2)G)[N+](=O)[O-],0,0.1,0,0.1,0,0,0.2,0,0,0.1,0,0.1
AA-504/32991023,CC(=O)c1ccc(cc1)NC(=O)c2ccc(c(c2)[N+](=O)[O-])G,0.1,0,0.1,0.2,0,0,0,0,0.1,0.2,0,0
AA-504/32992028,COc1ccc(cc1)C(=O)Nc2ccc(cn2)[N+](=O)[O-],0.2,0.1,0.2,0.1,0,0,0,0,0.1,0.1,0,0.1
AA-504/32993038,Cc1cc(no1)NC(=O)c2ccc(cc2[N+](=O)[O-])[N+](=O)[O-],0,0,0.2,0.1,0,0.1,0.2,0.1,0.1,0.1,0.4,0
AA-504/32993040,Cc1cccc(c1)C(=O)Nc2ccc(c(c2)[N+](=O)[O-])G,0,0.1,0.1,0.1,0,0,0,0.1,0,0.1,0.1,0
AA-504/32993057,O=C(NCCN1CCOCC1)c2ccccc2[N+](=O)[O-],0,0.1,0.1,0.1,0,0,0,0.2,0,0,0,0
AA-504/32993059,O=C(Nc1cccnc1G)c2cccc(c2)[N+](=O)[O-],0.1,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0.1
AA-504/32994046,Cc2ccc(NC(=O)c1cccc(c1)G)c(c2)[N+](=O)[O-],0.1,0.2,0.1,0.2,0,0,0,0.1,0,0,0,0.1
AA-504/32995017,Cc2ccc(NC(=O)C=Cc1ccccc1)c(c2)[N+](=O)[O-],0,0,0.1,0.1,0,0.1,0.1,0.1,0,0,0,0
AA-504/33188048,O=C(COc1ccccc1G)Nc3ccccc3(NC(=O)COc2ccccc2G),0.1,0.1,0.3,0.2,0,0.7,0.6,0.1,0,0,0.2,0.1
AA-504/33188054,O=C(Oc1ccccc1[N+](=O)[O-])c2ccc(o2)c3cccc(c3)[N+](=O)[O-],0,0,0,0.1,0,0.1,0.1,0.1,0,0.2,0,0.1
AA-504/33319013,O=[N+]([O-])C=C2CN=C(c1ccccc1(F))c3cc(ccc3(N2))G,0,0.2,0.3,0.1,0.1,0.1,0,0.1,0,0,0,0.1
AA-504/33319047,O=[N+]([O-])c1ccccc1c4nc(c2ccccc2)c(c3ccccc3)n4C6(N=C(c5ccccc5)C(=N6)c7ccccc7)c8ccccc8[N+](=O)[O-],0.1,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0.1,0
AA-504/33321028,O=[N+]([O-])c1cccc(c1)c2nnc(o2)c3cccc(c3)[N+](=O)[O-],0.1,0.1,0,0.1,0,0,0,0.2,0,0,0,0.2
AA-504/33801050,O=C1C=C(NC(=O)N1)C(=O)Nc2ccc(c(c2)[N+](=O)[O-])G,0,0,0,0.1,0,0.1,0.1,0.2,0.7,0,0.1,0.4
AA-504/33802016,O=C1C=C(NC(=O)N1)C(=O)NC2=NCCS2,0.6,0.2,0.5,0.1,0.5,0,0,1,0.2,0.3,0.2,0
AA-504/33802064,O=[N+]([O-])c1ccc(cc1)OCCn2cncn2,0,0,0,0.1,0,0,0,0,0.1,0,0,0
AA-504/33803055,CCC2=NNC(N2(NC(=O)c1ccc(cc1)[N+](=O)[O-]))=S,0.1,0.3,0,0.1,0.2,0.2,0.6,0.4,0.5,0.2,0,0.5
AA-504/33807014,O=C(Nc1ccc(c(c1)[N+](=O)[O-])G)C3c4ccccc4(Oc2ccccc23),0,0,0,0.1,0.1,0,0,0,0,0,0,0
AA-504/33807053,CCCCCCCCCCCCN4c1ccccc1C(C)(C)C24(C=Cc3cc(ccc3(O2))[N+](=O)[O-]),0.1,0,0.4,0.4,0.6,0.1,0.6,0.5,0.3,0.4,0.3,0.8
AA-504/33956028,O=C(C=Cc1ccc2OCOc2(c1))N3CCN(CC3)C(=O)C=Cc4ccc5OCOc5(c4),0,0,0,0.2,0.1,0.1,0,0,0,0,0,0
AA-504/33958005,Cc2nc(cn2(CCCCCCn1cc(nc1(C))[N+](=O)[O-]))[N+](=O)[O-],0,0,0.1,0,0.2,0.2,0.1,0.3,0,0.1,0.1,0
AA-504/33959018,CC4(C)(c1cc(ccc1N(CCO)C34(C=Cc2cc(ccc2S3)[N+](=O)[O-]))[N+](=O)[O-]),0,0,0.1,0.1,0.1,0.1,0,0.2,0.1,0.2,0.2,0.1
AA-504/34071002,CCCOC(=O)C2=C(C)NC(NC2(c1ccccc1))=S,0.4,0.6,0.90000004,0.6,0.4,0.4,0.5,0.3,0.1,0.4,0.1,0.3
AA-504/34071049,CCCOC(=O)C2=C(C)NC(C)=C(C(=O)OCCC)C2(c1ccccc1),0.6,0.6,0.6,0.8,0.4,0.8,0.8,0.4,0.5,0.6,0.2,0.6
AA-504/34071061,CC(C)OC(=O)C2=C(C)NC(NC2(c1ccccc1))=S,0.1,0.1,0.3,0.4,0,0.6,0.5,0.1,0,0.3,0.5,0.5
AA-504/34072020,O=C1c3cccnc3(Oc2ccc(cc12)[N+](=O)[O-]),0,0.3,0,0.2,0.3,0.2,0,0,0.2,0,0,0.1
AA-504/34072039,Cc2nc(cn2(Cc1cccc(c1)[N+](=O)[O-]))[N+](=O)[O-],0.1,0.2,0.1,0.2,0,0.6,0,0.1,0,0,0,0
AA-504/34235050,O=C1C(CCC1=C2SCCS2)=Cc3cccc(c3)[N+](=O)[O-],0,0.1,0.3,0.1,0.2,0,0.1,0.2,0.6,0.3,0.1,0
AA-504/34236008,CCC2=NNC(N2(N=Cc1cccc(c1)[N+](=O)[O-]))=S,0.1,0.1,0,0.4,0.6,0.1,0,0.1,0.1,0.5,0.1,0.1
AA-504/34798004,C3CC(=Cc1ccc(cc1)G)C=4NC(NC(c2ccc(cc2)G)C=4(C3))=S,0,0.4,0.4,0.5,0.1,0.4,0.8,0.5,0.4,0.90000004,0.4,0.2
AA-504/34971044,OC(=O)C(C(=O)C=Cc1ccccc1)=C2SCCS2,0.4,0.7,0.5,0,0.2,0.4,0.3,0.3,0.5,0.4,0.5,0.1
AA-504/34971045,Oc2cccc(C=CC(=O)C(C(O)=O)=C1SCCS1)c2,0.3,0.4,0,0.1,0,0.1,0,0.1,0.1,0.6,0.1,0
AA-504/34973054,Cc1ccc(cc1)c3nnc(NNC(=O)c2cc(cc(c2)[N+](=O)[O-])[N+](=O)[O-])s3,0,0.2,0,0.2,0.1,0.1,0.3,0.1,0,0,0,0
AA-504/34974011,COc2cc(C=NN1C(C)=NNC1=S)c(O)c(c2)R,0,0,0.5,0,0.3,0,0.1,0.2,0.1,0.3,0.1,0.1
AA-504/34974021,COc1ccc(cc1)C=C6CCCC5=C6(N=C3N(C(=O)C(=Cc2cccc(c2)[N+](=O)[O-])S3)C5(c4ccc(cc4)OC)),0.2,0.1,0,0.1,0,0,0.1,0.1,0.2,0.1,0,0.1
AA-504/36568042,CN1CCN(CC1)C(=S)SCc2cc(cc(c2)[N+](=O)[O-])[N+](=O)[O-],0.1,0.3,0.3,0.1,0,0.4,0.1,0.1,0,0,0,0.1
AA-504/36570027,O=C(NCCc1ccc2OCOc2(c1))c4cccc3ccccc34,0,0.1,0,0.1,0,0.2,0,0,0,0,0.1,0.1
AA-504/36570058,O=C(C=Cc1ccc(F)cc1)c2cccc(c2)[N+](=O)[O-],0,0.1,0,0,0.2,0,0,0,0,0.1,0.1,0
AA-504/36750009,CCOC(=O)C2CC3(C(=O)OC)(C(c1ccc(cc1)[N+](=O)[O-])C(ON3(O2))C(=O)OC),0.1,0,0.3,0.90000004,0.5,0.3,0.3,0.4,0.1,0.6,0.4,0.1
AA-504/36954096,O=C(C=Cc1ccccc1[N+](=O)[O-])C(C(=O)c2ccccc2)=C3SCCS3,0,0,0.1,0.2,0,0.4,0,0.1,0.5,0.2,0.4,0.2
AA-504/36954097,O=C(C=Cc1ccccc1[N+](=O)[O-])C(C(=O)c2ccccc2)=C3SCCCS3,0,0.1,0,0.2,0.1,0.1,0,0.1,0.6,0.5,0.6,0.4
AA-504/36954101,OC(=O)C(C(=O)C=Cc1ccccc1[N+](=O)[O-])=C2SCCS2,0.4,0.6,0.2,0.2,0.1,0.1,0,0.3,0.1,0.2,0.1,0
AA-504/36954122,COc1ccc(cc1)C(=O)Nc3nnc(COc2cccc(c2)[N+](=O)[O-])s3,0.1,0.1,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1
AA-504/36954189,O=[N+]([O-])c1ccc(cc1)CSC(N2CCCCC2)=S,0.4,0.1,0.3,0.1,0.7,0,0.5,0.3,0.6,0.3,0.1,0.5
AA-504/36954191,N#CCSC(N1CCOCC1)=S,0,0.1,0.2,0.2,0,0.1,0.1,0,0.4,0,0.1,0
AA-504/37062003,c1ccc(cc1)OCCCCSC(N2CCC3(CC2)(OCCO3))=S,0.4,0.1,0.5,0,0.2,0.2,0.5,0.6,0.3,0,0.1,0
AA-504/37062037,CC2CSC(=C(C(O)=O)C(=O)C=Cc1cccc(c1)[N+](=O)[O-])S2,0,0.3,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0,0.2,0
AA-516/12432018,OCCCCNC(=O)c1cc(ccc1G)[N+](=O)[O-],0.1,0.1,0.1,0.3,0,0.6,0.3,0.1,0,0.1,0.7,0.2
AA-516/12432023,O=C3C4C1C=CC(C1)C4(C(=O)N3(OS(=O)(=O)c2ccccc2[N+](=O)[O-])),0.5,0.1,0.2,0.3,0.3,0.4,0.1,0.1,0.5,0.2,0.2,0.3
AA-516/12432042,CCOC(=O)CSC(=O)c2c(c1c(cccc1s2)G)G,0.1,0,0.1,0.2,0.2,0.2,0,0.1,0,0,0,0
AA-516/12432094,COC(=O)c2c(c1ccccc1s2)[N+](=O)[O-],0.4,0,0,0,0,0.2,0,0.1,0.1,0.1,0.1,0.1
AA-516/12432102,O=C(c1ccccc1)C5=NOC4C5(CC3C2C=CC(C2)C34),0,0,0.2,0,0.2,0.1,0.2,0,0,0.4,0.2,0.3
AA-516/12432200,CCCCCCCCCCCCCCCCCCNc1ccc3c(c1)C(=O)c2cc(ccc23)[N+](=O)[O-],0,0.6,0.1,0.7,0.4,0.5,0.4,0.2,0.7,0.7,0.5,0.5
AA-516/12432245,CC1(C)(COC(=N1)c2ccc(cc2)[N+](=O)[O-]),0.1,0,0.1,0.1,0.2,0,0.2,0.3,0,0,0,0.1
AA-516/12432252,N#CC2=CN(OCc1ccccc1)C(=O)NC2(=O),0,0,0,0.1,0,0.2,0.1,0.1,0,0.1,0,0
AA-516/12432265,CC(C)(COC(=O)c1ccccc1)N(C#N)C(C=Cc2ccccc2)=Nc3ccc(cc3)[N+](=O)[O-],0,0.1,0.1,0.2,0,0,0.6,0,0,0.1,0.2,0.1
AA-516/12432266,CC2(C)(COC3(ON=C(C(=O)c1ccccc1)N23)(c4ccc(cc4)[N+](=O)[O-])),0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.1
AA-516/12432292,C=CCCSc1ccc(cc1)c2ccc(C#CC)cc2,0.1,0,0,0.1,0,0.3,0.1,0,0,0,0,0
AA-516/12432302,CCC(=Nc1ccc(cc1)[N+](=O)[O-])N(C#N)CCOC(=O)c2ccccc2,0.2,0,0.1,0.1,0,0,0.2,0.2,0.2,0,0,0.1
AA-516/12432309,CN(C)c2c1ccccc1sc2[N+](=O)[O-],0.1,0,0,0.2,0.1,0.2,0,0.1,0.1,0.1,0,0
AA-516/12432331,CSC=1N=C2C=CC=CN2(C(=O)C=1(C#N)),0.1,0.1,0.1,0.3,0.4,0.1,0.3,0.5,0.8,0.2,0.4,0.8
AA-516/12432333,CC(c2ccccc2(OCc1ccccc1))=C3C(=O)NC(=S)S3,0,0.1,0.1,0.1,0.1,0.1,0,0.2,0.3,0.1,0.4,0.2
AA-516/12432334,CC2(C)(COC3(C)(N(N=C(c1ccccc1)N23)c4ccc(cc4)[N+](=O)[O-])),0.2,0,0.1,0.2,0.2,0.1,0,0.2,0.3,0,0.3,0.1
AA-516/12432347,COc1ccc(C=CC(O)=O)cc1[N+](=O)[O-],0.1,0.1,0.2,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0
AA-516/12432348,CCOC(=O)CSc1ccc(cc1S(N)(=O)=O)[N+](=O)[O-],0.1,0.2,0.3,0.2,0.1,0.1,0.1,0.2,0.1,0,0.2,0.2
AA-516/12432352,CCOC(=O)C(N=Nc1ccc(cc1)[N+](=O)[O-])SCCCC(O)=O,0.1,0.1,0,0.1,0,0.2,0.3,0.2,0,0,0.1,0.1
AA-516/12432355,CSC=2N=C1N(C=CS1)C(=O)C=2(C#N),0.8,0.3,0.8,1,0.7,0.90000004,0.2,0.8,0.6,0.5,0.7,0.8
AA-516/12432384,O=C2C=CC(=O)N(CN1CCSCC1)N2,0.90000004,0.3,0.8,0.3,0.3,0.1,0.6,0.3,0.2,0.2,0.1,0.3
AA-516/12432395,O=C(C=Cc1ccc(cc1)[N+](=O)[O-])Oc2ccc(cc2)G,0,0,0,0.1,0,0.2,0.3,0.1,0.2,0.1,0.5,0.1
AA-516/12432421,CCCCCCCC12(CCC(CC1)(CC2)C(=O)Oc3ccc(cc3)c4ccc(C#N)cc4),0,0.1,0.1,0.2,0.7,0.1,0.4,0.2,0.1,0.4,0.5,0.3
AA-516/12432439,O=[N+]([O-])C(=Cc1ccccc1)Sc2ccccc2,0.1,0,0,0,0.2,0.2,0.2,0.2,0.1,0.2,0.6,0.1
AA-516/12432500,CSC=1N=C2C=CC(=CN2(C(=O)C=1(C#N)))R,0.3,0.1,0,0.4,0.4,0.1,0,0.4,0.2,0.1,0.2,0.2
AA-516/12432511,CC(=NO)c1cc(ccc1G)[N+](=O)[O-],0,0.3,0,0.1,0,0.1,0.1,0.1,0,0,0,0.1
AA-516/12432512,CCOC3(OCC)(C2(C1C(=O)C=CC(=O)C1C3(C(=C2G)G)G)G),0.7,0.4,0.8,0.8,0.7,0.5,0.5,0.4,0.7,0.5,0.5,0.4
AA-516/25012015,CC1(C)(COC(N1)=S),0.7,0.90000004,1,1,0.7,0.90000004,0.90000004,0.8,0.90000004,0.6,1,0.90000004
AA-516/25012019,Cc2cc(ccc2(N=Nc1ccc(cc1)N(C)C))[N+](=O)[O-],0.1,0,0,0,0,0.1,0.3,0.1,0,0,0,0.2
AA-516/25012025,[O-][N+](=Cc1cccs1)c2ccccc2,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0
AA-516/25012048,COc1cc(ccc1(O))C=C2C(=O)N(N)C(=S)S2,0,0,0.1,0.3,0.2,0,0.3,0.1,0.1,0.2,0,0.1
AA-516/25012053,CSC(=CC#N)Sc1ccccc1[N+](=O)[O-],0.3,0,0.1,0.2,0.3,0.1,0,0.7,0,0.1,0.3,0.1
AA-516/25012054,CCOC(=O)c1c(C)c(C(C)=O)c(S)s1,0,0,0,0,0,0,0,0,0,0.1,0,0.1
AA-516/25012060,CCOC(=O)CSC(=NNc1ccc(cc1)G)C(=O)OCC,0,0.4,0,0,0.5,0.2,0.2,0.3,0.2,0.2,0.1,0
AA-516/25012064,C=C(CN(C)C)C(=O)c1ccccc1[N+](=O)[O-],0,0.1,0.1,0.1,0,0,0.3,0,0.1,0.1,0.6,0
AA-516/25012074,CC1=NN=C(N)N(N)C1(=O),0.7,0.3,0.4,0.90000004,0.5,0.5,0.2,0.90000004,0.3,0.5,0.6,0.6
AA-516/25012082,CSC(CN1=CC=CC=C1)=S,0,0,0,0.1,0.1,0.1,0,0.2,0.3,0.1,0,0
AA-516/25012083,CN(C)c1ccc(cc1)[N+]([O-])=CC#N,0,0,0,0,0,0.1,0,0,0,0.1,0,0
AA-516/25012087,CCOC(=O)CSC(O)(C=NO)c1ccccc1,0,0.3,0.1,0.2,0.1,0.4,0.3,0.1,0.1,0.6,0.5,0.1
AA-516/25012094,O=C(NCc1ccc(cc1)G)C(G)G,0,0,0.2,0.1,0,0.3,0,0.2,0.2,0,0.2,0.1
AA-516/25012095,OCCNC(=O)C(G)G,0.8,0.6,0.90000004,0.8,0.8,0.90000004,1,0.90000004,1,0.5,0.6,0.8
AA-516/25012112,CC3=C(CC(N1CCOCC1)=S)C(=O)N(c2ccccc2)N3(C),0.6,0,0.1,0.1,0.2,0.2,0,0.5,0.2,0.5,0.3,0.2
AA-516/25012115,CC4(C)(C3CC=C(CC2CC(=O)N(OS(=O)(=O)c1ccccc1[N+](=O)[O-])C2(=O))C4(C3)),0.1,0,0.6,0.8,0.4,0.1,0.1,0.6,0.1,0.1,0.4,0.4
AA-516/25012138,COC(=O)C(C#N)=C1Nc2ccccc2(O1),0.90000004,0.90000004,0.2,0.3,0.7,0.4,0.4,0.3,0.7,0.7,0.6,0.5
AA-516/25012141,CC1(C)(CC(=O)C(C(=O)C1)=C2SCCS2),0.90000004,0.7,0.8,0.90000004,0.8,0.90000004,0.90000004,0.90000004,0.4,0.5,0.5,1
